               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.043158,            0.058714,           0.0022449,             0.88741,             0.96875,              0.9804,             0.53157,              0.0235,            0.030397,          0.00077953,            0.004258,            0.004258,            0.004258
                  60,            0.036203,            0.058793,           0.0021385,             0.65884,              0.9375,             0.89908,             0.51719,            0.025736,            0.030829,          0.00068607,            0.004159,            0.004159,            0.004159
                  61,            0.037186,            0.068066,           0.0015228,             0.92755,              0.9375,             0.98839,             0.52666,            0.023909,            0.030898,          0.00071888,             0.00406,             0.00406,             0.00406
                  62,            0.036817,             0.05937,           0.0020367,             0.90146,             0.92774,             0.94907,             0.48102,            0.024555,            0.031531,          0.00071125,            0.003961,            0.003961,            0.003961
                  63,            0.037457,             0.06089,           0.0020174,              0.8944,              0.9392,              0.9764,              0.5071,            0.024333,            0.031185,          0.00069618,            0.003862,            0.003862,            0.003862
                  64,            0.038452,            0.066298,           0.0018703,             0.82511,             0.96875,             0.96539,             0.51003,             0.02494,            0.033885,          0.00074978,            0.003763,            0.003763,            0.003763
                  65,            0.035439,            0.053316,           0.0015239,             0.92709,             0.93568,             0.98525,             0.47842,            0.025133,            0.032733,          0.00076923,            0.003664,            0.003664,            0.003664
                  66,            0.036953,            0.054647,           0.0022475,             0.88241,             0.96875,              0.9815,              0.5085,             0.02456,            0.032934,          0.00075932,            0.003565,            0.003565,            0.003565
                  67,            0.034842,            0.054762,           0.0016609,             0.89985,             0.93828,             0.98417,             0.51925,            0.025065,            0.032454,          0.00075989,            0.003466,            0.003466,            0.003466
                  68,            0.036143,            0.057431,           0.0019059,             0.81019,             0.99889,             0.96964,             0.50987,            0.024465,            0.032192,          0.00076046,            0.003367,            0.003367,            0.003367
                  69,            0.036074,            0.058199,            0.001752,             0.97022,             0.98968,             0.98765,             0.49276,             0.02338,            0.030946,          0.00076256,            0.003268,            0.003268,            0.003268
                  70,             0.03581,            0.053262,           0.0016288,             0.94279,             0.99843,             0.98833,             0.51371,            0.023235,            0.030939,          0.00071774,            0.003169,            0.003169,            0.003169
                  71,            0.034937,            0.060923,           0.0021479,             0.97013,             0.99692,             0.98765,             0.53127,            0.022829,            0.030756,          0.00072441,             0.00307,             0.00307,             0.00307
                  72,            0.034453,            0.067103,           0.0013687,             0.93357,             0.96974,             0.98792,             0.52703,            0.023241,             0.03118,          0.00068569,            0.002971,            0.002971,            0.002971
                  73,            0.036148,            0.053629,           0.0014933,             0.96177,              0.9682,             0.98839,             0.53223,            0.023681,            0.030711,          0.00071487,            0.002872,            0.002872,            0.002872
                  74,            0.036204,             0.05775,           0.0014285,             0.95289,             0.98784,             0.98765,             0.51518,            0.023945,            0.031853,          0.00073051,            0.002773,            0.002773,            0.002773
                  75,            0.033672,            0.058977,           0.0014346,             0.93799,             0.96875,             0.98245,             0.52554,            0.021717,            0.031057,           0.0007206,            0.002674,            0.002674,            0.002674
                  76,            0.032499,            0.065826,           0.0015556,             0.92518,              0.9862,               0.978,             0.55022,            0.023222,            0.032134,          0.00067844,            0.002575,            0.002575,            0.002575
                  77,            0.033439,            0.058074,           0.0013641,             0.92438,             0.96984,             0.98385,             0.56325,            0.021238,            0.031261,          0.00067177,            0.002476,            0.002476,            0.002476
                  78,            0.032248,            0.052102,           0.0013651,             0.95065,             0.96649,             0.98792,             0.54275,            0.023427,            0.031836,          0.00065556,            0.002377,            0.002377,            0.002377
